category,item,specification,purchase_qty,unit_price_inr,extended_price_inr,status
rotor,Rotor magnets,"20x10x2 mm N42 NdFeB; 8 poles/motor",50,42.80,2140,"32 installed; 18 spares"
rotor,Rotor flux-liner sheet,"0.5 mm ungalvanized cold-rolled mild steel; approx 300x600 mm",1,1400,1400,"Frozen; two nested layers per rotor"
rotor,Shaft stock,"8 mm ground steel; 500 mm",1,315,315,"Free machining assumed"
rotor,Bearings,"608ZZ 8x22x7 mm",10,30,300,"Eight installed plus two spare; high-speed screening required"
insulation,Nomex,"7 mil; 900x300 mm",2,270,540,"Allows liners separators trials and rejects"
insulation,Winding impregnation varnish,"Elantas V2603 or exact selected Class-H-compatible grade; 1 L",1,1000,1000,"Confirm TDS and cure compatibility"
sensors,Thermistors,"10k NTC; three per motor",12,6,72,"Calibration required"
sensors,Hall sensors,"Exact part TBD; three per motor",12,62,744,"Omit if final controller is sensorless"
adhesive,Lapox Ultra,"180 g kit",1,349,349,"End-cap keyed joint and fillets only"
adhesive,Araldite Amazon kit,"Exact consumer structural adhesive",1,TBD,TBD,"Magnet bond only after coupons"
composite,Lapox L-12 plus AH-411,"100:22 by mass; 1.0 kg resin plus 0.22-0.25 kg hardener",1,800-1800,800-1800,"Primary sleeve matrix; post-cure before magnets"
composite,UD carbon cloth or tape,"12K; approx 300 gsm",TBD,TBD,TBD,"Hoop reinforcement plus witness rings"
composite,Woven E-glass cloth,"100-200 gsm; approx 1 square metre",1,TBD,TBD,"Inner isolation and outer protection"
winding,Class-H magnet wire,"Parallel 27-32 AWG enamelled copper; exact turns and length pending",TBD,TBD,TBD,"Do not buy bulk until winding is recomputed"
machined,6061-T6 aluminium stock,"Four stator carriers and four rotor end caps",TBD,TBD,TBD,"Corrected CAD dependent"
machined,Stator-carrier CNC,"Four identical parts",4,TBD,TBD,"Batch quote required"
machined,Rotor-end-cap CNC,"Four identical parts",4,TBD,TBD,"Batch quote required"
hardware,Phase leads and connectors,"Existing stock; four motor sets",4,0,0,"Free"
hardware,Retaining hardware and prop adapters,"Final CAD and prop dependent",4,TBD,TBD,"Not frozen"
fixtures,Composite and magnet fixtures,"High-temperature cure and assembly fixtures",1,TBD,TBD,"Cure tooling cannot be ordinary PLA"
service,Shaft machining,"Four shafts",4,0,0,"Free"
service,Dyno testing,"Four motors plus proof sequence",4,0,0,"Free; guarded proof spin still required"
